%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
90300000000,902,90300000000,base_link,0,0,35.8594554007,-108.236838504,12.4657023552,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
90400000000,903,90400000000,base_link,0,0,35.8594556732,-108.23683827,12.4961688065,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
90500000000,904,90500000000,base_link,0,0,35.8594560176,-108.23683889,12.4809852596,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
90600000000,905,90600000000,base_link,0,0,35.8594565541,-108.236838805,12.4151624908,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
90700000000,906,90700000000,base_link,0,0,35.8594558235,-108.236838313,12.4486598112,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
90800000000,907,90800000000,base_link,0,0,35.8594556476,-108.236838439,12.4573832524,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
90900000000,908,90900000000,base_link,0,0,35.8594561691,-108.236838133,12.4288135969,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
91000000000,909,91000000000,base_link,0,0,35.8594556282,-108.236839018,12.5486383954,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
91100000000,910,91100000000,base_link,0,0,35.8594551891,-108.236838713,12.5161253524,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
91200000000,911,91200000000,base_link,0,0,35.8594551087,-108.236838858,12.4562491544,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
91300000000,912,91300000000,base_link,0,0,35.8594569065,-108.236839218,12.4571929299,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
91400000000,913,91400000000,base_link,0,0,35.8594555804,-108.236838724,12.4469874483,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
91500000000,914,91500000000,base_link,0,0,35.8594557575,-108.236838642,12.473629671,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
91600000000,915,91600000000,base_link,0,0,35.8594565033,-108.236839136,12.4899228227,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
91700000000,916,91700000000,base_link,0,0,35.8594558974,-108.236838805,12.4378572518,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
91800000000,917,91800000000,base_link,0,0,35.8594557111,-108.236838003,12.497972359,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
91900000000,918,91900000000,base_link,0,0,35.8594562546,-108.236839413,12.4971994504,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
92000000000,919,92000000000,base_link,0,0,35.8594556998,-108.236838621,12.4938203192,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
92100000000,920,92100000000,base_link,0,0,35.8594555884,-108.236838427,12.42780869,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
92200000000,921,92200000000,base_link,0,0,35.8594551358,-108.23683764,12.5280261661,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
92300000000,922,92300000000,base_link,0,0,35.859455648,-108.23683885,12.5260081123,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
